Date,Location,Dead,Injured,Total,Description
"May 5, 2019","North Bergen, New Jersey",1,4,5,"Just before 4am, officers discovered one person deceased and four people wounded, after a fight potentially escalated.[201]"
"May 5, 2019","Oceano, California",0,6,6,Officers responded to a call and discovered six individuals wounded by gunfire; the victims were transported to local hospitals for treatment.[202]
"May 7, 2019","Highlands Ranch, Colorado",1,8,9,"STEM School Highlands Ranch shooting: Authorities responded to theSTEM School Highlands Ranch, at about 1:50pm on a report of shots fired. One student was fatally shot and eight others were injured; two suspects were taken into custody by police.[199][200]"
"May 8, 2019","Indianapolis, Indiana",0,4,4,Four people were wounded in a shooting near the northwest side of Indianapolis.[198]
"May 10, 2019","St. Louis, Missouri",0,6,6,"A shooting was reported near Farragut Elementary School, where two men were discovered wounded, and an additional four were identified at the hospital.[196]"
"May 10, 2019","Philadelphia, Pennsylvania",0,5,5,A large group of adult men were ambushed by three teenagers who came out of a breezeway and shot and injured five of them.[197]
"May 11, 2019","Paulsboro, New Jersey",0,4,4,"A person began shooting at an event that was originally reported to be a rap concert and subsequently described as a birthday party. Four people were injured by the gunfire, and a fifth person suffered a head injury after falling.[194]"
"May 11, 2019","Chestnuthill Township, Pennsylvania",0,4,4,Four people were wounded in a shooting inside of a residence. The perpetrator was later arrested.[195]
"May 13, 2019","St. Louis, Missouri",4,1,5,"Three people were killed and two were critically injured in a shooting at a home. One victim died of their injuries days later, taking the death toll to four.[192]"
"May 13, 2019","New Orleans, Louisiana",0,4,4,Three men and a teenager were wounded in a drive-by shooting in theCentral City neighborhood.[193]
"May 15, 2019","St. Rose, Louisiana",0,4[n 1],4,"Four people, including two children were wounded during an altercation between two men in a strip mall parking lot.[191]"
"May 16, 2019","Cleveland, Ohio",0,4,4,"Four people, including two teenagers were wounded in a shooting.[190]"
"May 17, 2019","Sacramento, California",1,4,5,"A woman and three others, including a 4-year-old boy were wounded in what police presume was a targeted shooting. One of the victims later died from their injuries.[189]"
"May 18, 2019","Cascilla, Mississippi",1,5,6,One person was killed and five were injured in a shooting during a family dispute.[183]
"May 18, 2019","Cedar Rapids, Iowa",2,2,4,Two people were killed and two were wounded after an assailant shot into a vehicle outside of a tobacco store.[184]
"May 18, 2019","Atmore, Alabama",1,8,9,One person was killed and eight were wounded at a high school graduation party when a gunman opened fire during a fight.[185]
"May 18, 2019","Long Beach, California",1,5,6,A 57-year-old woman was killed and five others were wounded during a vigil at a local bar.[186]
"May 18, 2019","Winston-Salem, North Carolina",1,5,6,One man was killed and five were wounded at an overnight block party.[187]
"May 18, 2019","Muncie, Indiana",0,7,7,Seven people were wounded at a house party near the campus ofBall State University.[188]
"May 19, 2019","Portland, Oregon",0,5,5,Five people were wounded after gunfire erupted at a warehouse party.[182]
"May 20, 2019","Alexandria, Louisiana",1,4,5,One teenager was killed and five were injured in a shooting.[179]
"May 20, 2019","Columbus, Ohio",0,4,4,Four people were injured in a shooting in the Hilltop neighborhood.[180]
"May 20, 2019","Tulsa, Oklahoma",2,2,4,"A man opened fire on a group of people, killing two and wounding two others at an apartment complex.[181]"
"May 25, 2019","Oklahoma City, Oklahoma",0,5,5,"Five people were wounded in a parking lot, after an SUV pulled up and its occupants began shooting.[175]"
"May 25, 2019","Baltimore, Maryland",0,4,4,"Four people, including a teenager were found shot in McElderry Park.[176]"
"May 25, 2019","Chesapeake, Virginia",1,9,10,"Police responded to a noise complaint at a large party, and discovered ten people with gunshot wounds. One later died from their injuries.[177]"
"May 25, 2019","Trenton, New Jersey",0,10,10,Ten people were wounded in a shooting at a bar.[178]
"May 26, 2019","Stockton, California",1,3,4,Police discovered one person deceased and three injured after responding to reports of a shooting.[171]
"May 26, 2019","La Crosse, Virginia",0,5,5,"Multiple shooters reportedly opened fire at a block party, injuring five people.[172]"
"May 26, 2019",Washington DC,1,3,4,One teenager was killed and two women and a child were injured after being shot in a parking lot.[173]
"May 26, 2019","Chicago, Illinois",2,3,5,"Several people were gathered outside of a party when a man opened fire, killing two and wounding three.[174]"
"May 27, 2019","Trenton, New Jersey",1,5,6,"Police responded to a shooting on Walnut Avenue, and found one teenager deceased and five adults injured.[169]"
"May 27, 2019",Washington DC,0,5,5,A boy and four others were wounded in a shooting in theBarry Farm neighborhood.[170]
"May 29, 2019","Cleveland, Texas",2[n 1],3,5,"A man shot three employees at a local plumbing company, killing one before exchanging gunfire with a sheriff's deputy, also injuring him before committing suicide.[168]"
